parcelid,tax_value,value_pred_mean,value_pred_median,value_pred_lm,value_pred_glm,value_pred_lars,value_pred_lm2
10726267,343941.0,401186.33897808794,348476.0,503808.0,505297.5833985831,505567.82727095555,518224.0
10936811,535719.0,401186.33897808794,348476.0,330752.0,329554.7686591451,330522.2526272567,428648.0
13940329,417154.0,401186.33897808794,348476.0,470016.0,472892.7190586686,474425.40519905975,424864.0
12617886,151514.0,401186.33897808794,348476.0,301056.0,296759.04917725775,294264.1479887073,329184.0
11886426,159427.0,401186.33897808794,348476.0,503808.0,508223.3283555185,508937.5304268316,496000.0
11207464,48517.0,401186.33897808794,348476.0,60416.0,56424.30919908447,53573.95690898021,94656.0
13835609,742000.0,401186.33897808794,348476.0,570368.0,571679.6048806171,570870.3687207003,482680.0
13029531,199260.0,401186.33897808794,348476.0,174080.0,172413.51386444736,171760.010504357,198848.0
14170085,313565.0,401186.33897808794,348476.0,448512.0,445615.1536889814,447149.28210033907,428512.0
14097596,78294.0,401186.33897808794,348476.0,442368.0,438947.6338640274,439461.46794485,404288.0
17267666,429898.0,401186.33897808794,348476.0,491520.0,496368.7261502664,496270.0308975458,483968.0
12450795,56074.0,401186.33897808794,348476.0,282624.0,280803.38554945134,279584.92055412335,294368.0
11901009,45515.0,401186.33897808794,348476.0,250880.0,251646.71474880062,252651.83928500325,266368.0
11249987,106397.0,401186.33897808794,348476.0,118784.0,116236.34499350906,117188.72745982482,42592.0
11162514,577000.0,401186.33897808794,348476.0,683008.0,679781.3374950517,678929.5026416162,668160.0
14300778,70231.0,401186.33897808794,348476.0,364544.0,362834.9525137903,363657.06738263567,342400.0
13950566,60126.0,401186.33897808794,348476.0,384000.0,385306.6108722044,385524.3736933363,341424.0
11419462,462980.0,401186.33897808794,348476.0,324608.0,325351.72977287805,324921.99181629415,312800.0
12726439,240199.0,401186.33897808794,348476.0,313344.0,321664.6150413578,323275.9663805515,307424.0
14648842,306518.0,401186.33897808794,348476.0,314368.0,316420.0392811396,315349.2112377431,279072.0
17090091,363797.0,401186.33897808794,348476.0,320512.0,322252.9652489431,321380.52640649653,224672.0
11977837,375642.0,401186.33897808794,348476.0,179200.0,179495.2045434356,181580.6791267838,288848.0
10778151,452527.0,401186.33897808794,348476.0,299008.0,296049.57340898714,296893.20440517704,334384.0
17153773,754000.0,401186.33897808794,348476.0,665600.0,668358.1183339898,669369.1332829086,668160.0
14722403,191362.0,401186.33897808794,348476.0,388096.0,384336.0406100785,384881.2968697813,359712.0
10995803,439095.0,401186.33897808794,348476.0,268288.0,267677.62222192646,268568.4792038229,299472.0
13926798,76265.0,401186.33897808794,348476.0,385024.0,387309.7113122749,387539.27007471607,349280.0
11079683,521155.0,401186.33897808794,348476.0,715776.0,722555.0969863788,720309.4942275131,714432.0
11096752,287041.0,401186.33897808794,348476.0,337920.0,344826.267041317,345704.4866132825,342752.0
11511731,1055836.0,401186.33897808794,348476.0,331776.0,335471.60586289206,338482.17201995896,362120.0
14453383,816583.0,401186.33897808794,348476.0,790528.0,785760.4760729615,785731.1366301095,916032.0
14115963,560925.0,401186.33897808794,348476.0,399360.0,396950.0210119588,398797.1659261916,378048.0
14004251,77650.0,401186.33897808794,348476.0,467968.0,467557.2449920337,469515.8799241362,454048.0
12594013,293905.0,401186.33897808794,348476.0,297984.0,299045.29532822774,296209.63538282644,285784.0
11161537,228724.0,401186.33897808794,348476.0,294912.0,303211.6830619423,303548.59325806785,286496.0
12743515,435124.0,401186.33897808794,348476.0,439296.0,440197.759961443,441165.5511034321,418496.0
14452403,794718.0,401186.33897808794,348476.0,743424.0,745104.4099730474,744591.2033301806,833728.0
14187284,57597.0,401186.33897808794,348476.0,256000.0,254658.2396696105,254016.5988591576,199584.0
11281790,99820.0,401186.33897808794,348476.0,199680.0,207597.89076416777,208765.4141047052,165808.0
11900885,80886.0,401186.33897808794,348476.0,235520.0,234224.55888568127,234186.54710003,280512.0
12241953,48620.0,401186.33897808794,348476.0,339968.0,332495.4285435475,332784.6141470749,324288.0
12598745,575645.0,401186.33897808794,348476.0,448512.0,443712.19112982455,443194.55665532005,480064.0
14384850,554116.0,401186.33897808794,348476.0,427008.0,428716.37358324125,429124.5980831121,453056.0
14697526,364000.0,401186.33897808794,348476.0,307200.0,304908.8920379662,306091.2234710413,276384.0
11259670,220445.0,401186.33897808794,348476.0,61440.0,62037.71505213081,61035.252280262124,139608.0
10875958,387824.0,401186.33897808794,348476.0,218112.0,211932.30410202156,210029.9615366829,260312.0
11523048,1300000.0,401186.33897808794,348476.0,367616.0,368344.05653501034,368843.4438479921,382472.0
13052185,132210.0,401186.33897808794,348476.0,302080.0,303054.1358593421,304106.23431120586,266592.0
13021451,67923.0,401186.33897808794,348476.0,237568.0,240524.44504231325,240811.27085439774,245696.0
12510619,272595.0,401186.33897808794,348476.0,436224.0,438814.34997378197,438845.1393680357,458672.0
13849430,357259.0,401186.33897808794,348476.0,270336.0,263255.9929307903,261905.79656672827,182856.0
14460884,616846.0,401186.33897808794,348476.0,793600.0,793265.2004436046,792816.6124455854,867712.0
12928485,135731.0,401186.33897808794,348476.0,385024.0,383795.3631780892,385014.5335611684,368832.0
12689775,183245.0,401186.33897808794,348476.0,669696.0,671936.9001082331,671892.9648994694,664448.0
14669028,634543.0,401186.33897808794,348476.0,413696.0,411479.42832666816,411392.3279046686,456192.0
11623826,922841.0,401186.33897808794,348476.0,683008.0,679737.7851959477,676444.5953294977,691744.0
17262513,350757.0,401186.33897808794,348476.0,620544.0,618132.2121757516,618015.9084858175,625728.0
14714164,443828.0,401186.33897808794,348476.0,396288.0,396331.63538220996,395852.3798665945,488064.0
11238129,234298.0,401186.33897808794,348476.0,-11264.0,-13005.926258701365,-10658.052891983709,173752.0
14425086,1015473.0,401186.33897808794,348476.0,987136.0,985739.835181322,979627.8022923119,1026304.0
14746003,397998.0,401186.33897808794,348476.0,463872.0,464061.34474267566,464235.14875685074,382912.0
12086613,383146.0,401186.33897808794,348476.0,389120.0,392612.4766964519,392651.9292572825,412704.0
11125886,345000.0,401186.33897808794,348476.0,355328.0,362210.0714964302,362188.2089641155,360064.0
10761885,220493.0,401186.33897808794,348476.0,377856.0,373274.505057122,373954.9033732171,401248.0
12668213,163387.0,401186.33897808794,348476.0,404480.0,399746.15867724206,400402.63156888663,362320.0
12480158,323287.0,401186.33897808794,348476.0,325632.0,320829.63250895456,320539.43426969193,304048.0
11667433,163284.0,401186.33897808794,348476.0,482304.0,486092.7098478397,486588.44135832466,494384.0
13844550,312389.0,401186.33897808794,348476.0,333824.0,328825.49066227954,329196.3423582715,235240.0
11124238,483000.0,401186.33897808794,348476.0,407552.0,407301.73346420744,407868.56360028434,410560.0
12225330,233716.0,401186.33897808794,348476.0,406528.0,405180.7094921551,405867.6052427415,405112.0
11643512,554786.0,401186.33897808794,348476.0,297984.0,295888.7684894166,298840.47172214417,316032.0
17285291,165029.0,401186.33897808794,348476.0,364544.0,365872.3982816861,365428.43687810254,342768.0
13895099,895658.0,401186.33897808794,348476.0,629760.0,628534.0965754661,627931.1308334772,590848.0
17278477,71351.0,401186.33897808794,348476.0,372736.0,372757.75919435197,373770.86699932977,357216.0
17250070,375000.0,401186.33897808794,348476.0,389120.0,392460.6307812259,392357.53532113315,393760.0
12566549,281172.0,401186.33897808794,348476.0,356352.0,359454.7504088641,359606.2193102388,330968.0
13880292,183883.0,401186.33897808794,348476.0,288768.0,282443.5749459992,281962.39516732935,255232.0
12492533,528000.0,401186.33897808794,348476.0,529408.0,532626.6695196207,531717.0705311142,639360.0
14118530,306422.0,401186.33897808794,348476.0,524288.0,527740.3211935258,530101.2132233749,535616.0
12586222,293597.0,401186.33897808794,348476.0,289792.0,283259.016163374,280115.2975926501,280904.0
11184514,538000.0,401186.33897808794,348476.0,626688.0,626973.3946325658,624592.0621073454,417024.0
11188425,241629.0,401186.33897808794,348476.0,206848.0,205241.18414080376,206284.63024922955,166016.0
10735754,791894.0,401186.33897808794,348476.0,463872.0,467673.5269333154,468066.62012890045,478608.0
14248880,544690.0,401186.33897808794,348476.0,529408.0,534660.0362383964,534679.8758717442,477408.0
14635430,440101.0,401186.33897808794,348476.0,434176.0,437453.56307073444,437639.01907846413,353008.0
12527111,79063.0,401186.33897808794,348476.0,345088.0,348564.39972813916,349206.365479997,283768.0
12958666,211859.0,401186.33897808794,348476.0,258048.0,252451.14140455495,253060.60691391915,253792.0
11952652,362813.0,401186.33897808794,348476.0,577536.0,574957.8785428068,575866.2291033391,613584.0
17185740,478636.0,401186.33897808794,348476.0,661504.0,658385.5945010926,659464.5787854579,659392.0
12467988,215660.0,401186.33897808794,348476.0,366592.0,362451.62416209735,363027.853755629,327664.0
12140481,514602.0,401186.33897808794,348476.0,390144.0,396535.3448785862,396674.55099710095,387072.0
10989983,332000.0,401186.33897808794,348476.0,260096.0,263145.1164501948,262734.88322713826,291712.0
14747622,380000.0,401186.33897808794,348476.0,339968.0,341652.8904137217,342391.51256715244,315328.0
11294955,127703.0,401186.33897808794,348476.0,130048.0,134233.9224762579,136067.84818309097,116032.0
13980877,493368.0,401186.33897808794,348476.0,477184.0,478774.0836865353,480605.8346103744,424704.0
14053308,76886.0,401186.33897808794,348476.0,303104.0,304908.58041379077,301648.5106290735,288416.0
10881628,184680.0,401186.33897808794,348476.0,289792.0,293022.98879005184,293514.84566537617,311136.0
11482606,584417.0,401186.33897808794,348476.0,317440.0,315079.93922137644,314254.8297599902,299856.0
12475804,418806.0,401186.33897808794,348476.0,296960.0,288505.86711840495,287071.3376807927,275576.0
12739900,79965.0,401186.33897808794,348476.0,324608.0,320796.6095184814,320945.3197792349,306944.0
14387873,427088.0,401186.33897808794,348476.0,571392.0,567843.9472506589,567571.9537780554,531296.0
11314590,111677.0,401186.33897808794,348476.0,48128.0,51913.25661775097,51912.97723580914,105216.0
12537256,297347.0,401186.33897808794,348476.0,267264.0,267494.1787260787,268453.67797398614,218160.0
10794067,315125.0,401186.33897808794,348476.0,267264.0,265898.41872605507,266084.8086359489,274496.0
12955788,384889.0,401186.33897808794,348476.0,372736.0,370016.3666431507,370060.5340698664,406528.0
12769136,423670.0,401186.33897808794,348476.0,262144.0,265915.72666833893,265990.3309002098,272640.0
13064906,229662.0,401186.33897808794,348476.0,330752.0,326380.5591017174,327134.00989790994,316544.0
12583872,305311.0,401186.33897808794,348476.0,413696.0,412247.43463588867,412518.6836960083,376800.0
10717988,889523.0,401186.33897808794,348476.0,545792.0,549214.8112662893,549267.6679850112,585152.0
12609483,207589.0,401186.33897808794,348476.0,302080.0,297386.5531940965,293279.0625869675,285632.0
14679763,202460.0,401186.33897808794,348476.0,382976.0,383975.4468854649,383968.85678535176,361280.0
11110732,196000.0,401186.33897808794,348476.0,166912.0,165082.1158462742,163226.36653914308,168160.0
12009982,375641.0,401186.33897808794,348476.0,230400.0,231797.99005838705,232166.49598493567,263616.0
10820754,79526.0,401186.33897808794,348476.0,360448.0,364250.5422434658,364948.88296782284,394464.0
11785172,86000.0,401186.33897808794,348476.0,197632.0,193056.45347433584,194927.20654405298,266840.0
17142788,347284.0,401186.33897808794,348476.0,406528.0,407290.7899362602,407938.93078807136,380992.0
12995639,378000.0,401186.33897808794,348476.0,363520.0,367291.5644465707,367238.0110698351,420416.0
14695753,736279.0,401186.33897808794,348476.0,645120.0,648336.0993690212,647096.9943875165,627040.0
12432217,51932.0,401186.33897808794,348476.0,284672.0,279287.1306157753,276785.81958213233,278704.0
14693828,530000.0,401186.33897808794,348476.0,434176.0,433966.7987990605,433797.14654678194,503712.0
12813574,368708.0,401186.33897808794,348476.0,418816.0,419612.53161403356,419577.65716162615,424800.0
13011874,69517.0,401186.33897808794,348476.0,305152.0,305451.13167676376,306204.19061364245,316432.0
11343454,434923.0,401186.33897808794,348476.0,198656.0,206469.09995118767,207153.56240213523,215712.0
17279804,681000.0,401186.33897808794,348476.0,349184.0,344825.4785777767,346166.3662227255,309024.0
10933882,681990.0,401186.33897808794,348476.0,616448.0,617596.945946274,615119.2979050004,608672.0
10752668,168986.0,401186.33897808794,348476.0,308224.0,309579.85166275816,309875.03659045487,306704.0
12861687,152712.0,401186.33897808794,348476.0,402432.0,405450.332300267,406194.74453458923,399232.0
13064570,465368.0,401186.33897808794,348476.0,473088.0,475989.504671403,477103.4845848519,431424.0
12147501,47166.0,401186.33897808794,348476.0,189440.0,187212.24140877824,185867.99766740232,196664.0
12542313,299000.0,401186.33897808794,348476.0,315392.0,316401.3338789935,317830.5787167381,264592.0
11757468,509040.0,401186.33897808794,348476.0,572416.0,575976.8407567812,576937.8377740092,632960.0
14375018,679481.0,401186.33897808794,348476.0,693248.0,693502.3513489927,693459.0948116299,660672.0
11482476,73057.0,401186.33897808794,348476.0,317440.0,316573.1835750197,315761.3274614037,301136.0
11324806,180375.0,401186.33897808794,348476.0,359424.0,364352.1764647366,365363.8422199209,311232.0
12622932,83875.0,401186.33897808794,348476.0,347136.0,348117.304898278,347325.1568968659,308416.0
12452424,347000.0,401186.33897808794,348476.0,268288.0,270712.9583151182,268966.1744840578,239888.0
13095127,67155.0,401186.33897808794,348476.0,284672.0,283384.4194370796,283695.48670218897,284032.0
11186694,233427.0,401186.33897808794,348476.0,488448.0,492666.7750626316,493140.95948303485,394048.0
14377672,594271.0,401186.33897808794,348476.0,586752.0,582486.0526477457,583088.9632842793,516960.0
10743928,139983.0,401186.33897808794,348476.0,529408.0,524592.9814633591,526427.3093263357,539648.0
14216156,442000.0,401186.33897808794,348476.0,400384.0,400166.3034465427,400574.2145284192,355968.0
14675851,218367.0,401186.33897808794,348476.0,405504.0,407020.28077903565,407293.22480133764,336192.0
11235037,335031.0,401186.33897808794,348476.0,266240.0,270776.71748345566,271963.27130467957,224000.0
11696132,395000.0,401186.33897808794,348476.0,330752.0,333170.00982776366,334017.3664013166,419048.0
12684287,78237.0,401186.33897808794,348476.0,368640.0,366953.39683604374,366361.16274230205,322080.0
14329934,104747.0,401186.33897808794,348476.0,366592.0,364290.55205023865,367069.62261530024,223368.0
12710240,569657.0,401186.33897808794,348476.0,594944.0,590634.2073838414,592500.8024801133,581376.0
14504998,209426.0,401186.33897808794,348476.0,340992.0,345275.1637238909,344990.3549856056,311712.0
11632933,397283.0,401186.33897808794,348476.0,408576.0,415375.81465812784,415497.7610346206,435680.0
14342414,735856.0,401186.33897808794,348476.0,706560.0,702774.0609791712,703561.6810774053,817664.0
12385318,166324.0,401186.33897808794,348476.0,297984.0,298211.3039681666,298207.02749060665,297200.0
10912494,685293.0,401186.33897808794,348476.0,588800.0,594961.0519884166,592608.1941772042,654976.0
14708489,167085.0,401186.33897808794,348476.0,311296.0,304923.92933106807,303308.1040221438,255280.0
14217624,124875.0,401186.33897808794,348476.0,437248.0,443903.17811817524,443965.9544693959,397504.0
10828331,136294.0,401186.33897808794,348476.0,247808.0,247093.05160149996,247707.40300515044,265840.0
14437510,456261.0,401186.33897808794,348476.0,742400.0,740955.1431347854,739833.1654568252,778048.0
17065501,380556.0,401186.33897808794,348476.0,747520.0,750399.7728076847,748671.5420865875,729536.0
17146786,424000.0,401186.33897808794,348476.0,378880.0,375133.73570455285,374180.0825966898,266144.0
14689153,380718.0,401186.33897808794,348476.0,357376.0,360017.64114621526,360277.040772555,315424.0
14397183,724770.0,401186.33897808794,348476.0,415744.0,412329.1761846513,412394.2917447635,329632.0
14413597,838751.0,401186.33897808794,348476.0,525312.0,529402.8381719734,529141.121146248,527392.0
11260005,157399.0,401186.33897808794,348476.0,66560.0,65763.15175553423,64955.477950925415,142480.0
11957596,338073.0,401186.33897808794,348476.0,201728.0,198171.34836755617,197897.468560939,381632.0
13870098,46420.0,401186.33897808794,348476.0,292864.0,286961.86580786423,286690.0489314725,266320.0
17134622,81397.0,401186.33897808794,348476.0,408576.0,402327.33164655423,403097.8013704547,347520.0
14240141,431697.0,401186.33897808794,348476.0,339968.0,340401.56622320774,340651.9234594789,287664.0
11184132,160096.0,401186.33897808794,348476.0,228352.0,226580.43456181075,227545.31305363923,184320.0
12847530,657426.0,401186.33897808794,348476.0,533504.0,537487.187196716,538104.832612746,542592.0
11220518,26825.0,401186.33897808794,348476.0,50176.0,51713.37817387155,51177.246270661475,22648.0
11709639,55245.0,401186.33897808794,348476.0,319488.0,319419.516207967,320376.6235846998,349192.0
14035324,91201.0,401186.33897808794,348476.0,456704.0,459190.03212620143,459286.799148342,426528.0
14131960,424464.0,401186.33897808794,348476.0,264192.0,259518.65694614762,257164.69258758836,255640.0
12883310,228788.0,401186.33897808794,348476.0,159744.0,161720.73696615844,160576.65302906377,202624.0
11276035,133832.0,401186.33897808794,348476.0,95232.0,95651.6587328089,96990.05718780472,53568.0
14138013,97089.0,401186.33897808794,348476.0,376832.0,379173.5920033844,379777.78840428207,366144.0
11598695,253294.0,401186.33897808794,348476.0,339968.0,334269.0213974373,334760.14347182144,360416.0
12200907,207778.0,401186.33897808794,348476.0,238592.0,231202.2108319584,229256.9907681573,258920.0
12960134,555300.0,401186.33897808794,348476.0,365568.0,362365.6414382045,362342.65464573907,412224.0
11153328,403000.0,401186.33897808794,348476.0,263168.0,262331.2909564292,262791.3182711304,285136.0
12303159,116922.0,401186.33897808794,348476.0,263168.0,257527.619415586,255930.0857295313,246464.0
12361989,292547.0,401186.33897808794,348476.0,479232.0,482208.1739648903,481706.46278011973,513728.0
17242941,425000.0,401186.33897808794,348476.0,258048.0,252680.10631066601,250901.20949663213,253680.0
11159858,243659.0,401186.33897808794,348476.0,259072.0,258317.00300283034,258360.27249270765,271744.0
14463545,1050898.0,401186.33897808794,348476.0,1059840.0,1060657.400862719,1055321.432125408,1182016.0
12752762,562000.0,401186.33897808794,348476.0,390144.0,383590.70117414126,384282.5462637805,359232.0
12126131,475621.0,401186.33897808794,348476.0,424960.0,426942.34801534296,428043.9299641311,421568.0
10946139,261069.0,401186.33897808794,348476.0,389120.0,389419.47524827556,389686.1087649809,398272.0
14270036,533030.0,401186.33897808794,348476.0,384000.0,380779.019092394,383428.49368907255,361248.0
14696230,381076.0,401186.33897808794,348476.0,344064.0,346864.00721216854,346290.73285429424,321216.0
14443696,698057.0,401186.33897808794,348476.0,626688.0,621732.731044962,621051.5453101329,657248.0
14138440,254572.0,401186.33897808794,348476.0,251904.0,252965.478788394,252373.76017480323,235952.0
14653561,283442.0,401186.33897808794,348476.0,340992.0,346359.2349560409,345965.81460446015,303504.0
17155087,59950.0,401186.33897808794,348476.0,467968.0,466203.09043955756,465507.75352566864,353120.0
17234630,294603.0,401186.33897808794,348476.0,478208.0,474848.67344148684,474395.8396917097,496960.0
14191282,450841.0,401186.33897808794,348476.0,315392.0,309973.4855031277,311000.8026058836,306592.0
11664356,1197743.0,401186.33897808794,348476.0,577536.0,575281.8873326918,575989.3891433502,604784.0
14372507,742429.0,401186.33897808794,348476.0,458752.0,461442.4385878517,461648.46472461347,392480.0
10854832,336786.0,401186.33897808794,348476.0,387072.0,387433.5364163525,387980.41358482407,404416.0
14682770,458952.0,401186.33897808794,348476.0,470016.0,469640.57309200463,469026.9833656762,549056.0
17092459,531574.0,401186.33897808794,348476.0,675840.0,672232.273810815,670662.8180844585,660160.0
14657520,228613.0,401186.33897808794,348476.0,392192.0,388413.85578309064,388769.42981611675,312592.0
12513581,495846.0,401186.33897808794,348476.0,407552.0,401194.90847677237,401627.57032664586,357504.0
12829403,79890.0,401186.33897808794,348476.0,313344.0,312316.16966511466,313484.6463212512,313888.0
12195167,275972.0,401186.33897808794,348476.0,370688.0,372561.1382244959,373633.67142074637,445664.0
14650106,405000.0,401186.33897808794,348476.0,300032.0,301276.35926802433,298690.9012492042,309376.0
14258167,370858.0,401186.33897808794,348476.0,392192.0,389396.53698098194,390067.8511391812,309520.0
10878515,446000.0,401186.33897808794,348476.0,230400.0,229488.64750015837,230952.2247628507,303392.0
12166787,266171.0,401186.33897808794,348476.0,236544.0,230101.9653440133,230314.59549745536,252656.0
14722604,465990.0,401186.33897808794,348476.0,378880.0,376491.84709984914,376677.33277045836,346624.0
11813383,115690.0,401186.33897808794,348476.0,214016.0,218093.86184750957,219134.03855508944,260224.0
17299711,344169.0,401186.33897808794,348476.0,332800.0,338653.28101028077,338591.0810148803,336064.0
12779900,406289.0,401186.33897808794,348476.0,482304.0,478431.4546270092,479282.08751086163,473952.0
13019074,137877.0,401186.33897808794,348476.0,181248.0,181668.80963113875,180721.32047036057,178312.0
11983188,380000.0,401186.33897808794,348476.0,277504.0,277206.1899184338,277549.7706381094,303040.0
14031823,302792.0,401186.33897808794,348476.0,606208.0,602328.5572296579,602730.2310920092,580896.0
10944027,415000.0,401186.33897808794,348476.0,270336.0,269852.31304342643,270400.5922000923,290912.0
13876090,385384.0,401186.33897808794,348476.0,325632.0,324626.60059920273,325074.8501884639,289264.0
17078437,614000.0,401186.33897808794,348476.0,327680.0,322668.1255710605,321305.33456594223,244768.0
11814962,38470.0,401186.33897808794,348476.0,233472.0,232634.1663622965,231523.11998910288,240096.0
12850879,83420.0,401186.33897808794,348476.0,386048.0,386623.20195864886,389162.4997846938,367360.0
11554962,949258.0,401186.33897808794,348476.0,307200.0,300539.82568080415,299989.2385654554,309208.0
12711019,811457.0,401186.33897808794,348476.0,748544.0,743952.7027180714,743460.3264849999,747104.0
12195960,274414.0,401186.33897808794,348476.0,314368.0,317564.32601808384,317904.1257070722,346272.0
17058806,43393.0,401186.33897808794,348476.0,263168.0,263838.0322292486,260777.24668370042,161008.0
14195073,921394.0,401186.33897808794,348476.0,681984.0,679355.1599512752,679186.5334638469,674880.0
11147141,229751.0,401186.33897808794,348476.0,401408.0,404660.8055864855,404513.9893969865,386112.0
11717387,24178.0,401186.33897808794,348476.0,324608.0,322986.0793239992,323828.23871955846,402232.0
10826323,83622.0,401186.33897808794,348476.0,343040.0,338041.66177621234,338682.65096926223,368448.0
12365035,260648.0,401186.33897808794,348476.0,379904.0,380321.7763899833,381341.3060770304,405248.0
14254280,610000.0,401186.33897808794,348476.0,414720.0,412848.75441034837,413335.07562148443,375680.0
12228255,80881.0,401186.33897808794,348476.0,263168.0,263704.8705862252,262530.6998523433,271080.0
12984234,271642.0,401186.33897808794,348476.0,299008.0,296696.54223109194,296988.42178965604,308416.0
11143654,406000.0,401186.33897808794,348476.0,306176.0,314215.7592095137,314446.1276259461,300000.0
11565961,462901.0,401186.33897808794,348476.0,275456.0,270036.86156306975,270034.10803790553,303776.0
17085526,331776.0,401186.33897808794,348476.0,349184.0,349607.7775801411,348721.1290644528,240064.0
12673632,516060.0,401186.33897808794,348476.0,391168.0,385932.8811610573,386480.9896975468,368928.0
11576791,449245.0,401186.33897808794,348476.0,480256.0,485245.430164031,484612.3686725719,512192.0
17289663,456861.0,401186.33897808794,348476.0,379904.0,379117.7192760071,378573.5545140641,356928.0
13913473,273839.0,401186.33897808794,348476.0,302080.0,299238.585245953,299151.5680900453,274000.0
12234549,159153.0,401186.33897808794,348476.0,225280.0,228531.46589735599,230247.36939870968,258368.0
11204820,132281.0,401186.33897808794,348476.0,269312.0,266483.7773062927,267708.8585846969,218432.0
17289563,412140.0,401186.33897808794,348476.0,399360.0,398740.5775405539,398770.315474047,386016.0
17154628,41311.0,401186.33897808794,348476.0,336896.0,332673.55075938744,331569.70685001725,224208.0
12422752,86863.0,401186.33897808794,348476.0,367616.0,362437.09044720745,363254.8243241977,371328.0
13899697,641824.0,401186.33897808794,348476.0,518144.0,517792.79738121433,517710.9496630107,329408.0
13035484,492000.0,401186.33897808794,348476.0,211968.0,211742.08883021277,214118.06628811796,250944.0
11275490,105192.0,401186.33897808794,348476.0,137216.0,146548.23349921126,147867.69218411687,95488.0
17188748,310762.0,401186.33897808794,348476.0,376832.0,381622.22484155605,381071.05818992626,365664.0
14194457,924092.0,401186.33897808794,348476.0,817152.0,817822.6939491653,815610.7392831093,843328.0
14417752,1033078.0,401186.33897808794,348476.0,840704.0,842093.2451058055,837788.2784651972,853248.0
17053032,260290.0,401186.33897808794,348476.0,315392.0,312973.9033319596,312140.52460289747,227008.0
12151324,231311.0,401186.33897808794,348476.0,288768.0,288853.78543457517,289441.98835533246,307072.0
